,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
63,1,-7.171428571428571,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
64,1,-7.171428571428571,0.0006,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
65,1,-7.171428571428571,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
66,1,-7.171428571428571,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
67,1,-7.171428571428571,0.00105,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
68,1,-7.171428571428571,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
69,1,-7.171428571428571,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
70,1,-7.171428571428571,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
71,1,-7.171428571428571,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
72,1,-7.171428571428571,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
73,1,-7.171428571428571,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
74,1,-7.171428571428571,0.0021,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
75,1,-6.4642857142857135,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
76,1,-6.4642857142857135,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
77,1,-6.4642857142857135,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
78,1,-6.4642857142857135,0.00045,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
79,1,-6.4642857142857135,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
80,1,-6.4642857142857135,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
81,1,-6.4642857142857135,0.0009,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
82,1,-6.4642857142857135,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
83,1,-6.4642857142857135,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
84,1,-6.4642857142857135,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
85,1,-6.4642857142857135,0.0014999999999999998,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
86,1,-6.4642857142857135,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
87,1,-6.4642857142857135,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
88,1,-6.4642857142857135,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
89,1,-6.4642857142857135,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
90,1,-5.757142857142857,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
91,1,-5.757142857142857,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
92,1,-5.757142857142857,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
93,1,-5.757142857142857,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
94,1,-5.757142857142857,0.0006,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
95,1,-5.757142857142857,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
96,1,-5.757142857142857,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
97,1,-5.757142857142857,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
98,1,-5.757142857142857,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
99,1,-5.757142857142857,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
100,1,-5.757142857142857,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
101,1,-5.757142857142857,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
102,1,-5.757142857142857,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
103,1,-5.757142857142857,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
104,1,-5.757142857142857,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
105,1,-5.05,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
106,1,-5.05,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
107,1,-5.05,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
108,1,-5.05,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
109,1,-5.05,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
110,1,-5.05,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
111,1,-5.05,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
112,1,-5.05,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
113,1,-5.05,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
114,1,-5.05,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
115,1,-5.05,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
116,1,-5.05,0.0016499999999999998,3.716196100218174,442.563798823813,1.3586292549329798e-14,1.0,4.326605227279193,451.78777810358946,1.3521071133947993e-14,1.0
117,1,-5.05,0.0018,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
118,1,-5.05,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
119,1,-5.05,0.0021,3.716196100218174,442.563798823813,1.3586292549329798e-14,1.0,4.326605227279193,451.78777810358946,1.3521071133947993e-14,1.0
120,1,-4.3428571428571425,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
121,1,-4.3428571428571425,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
122,1,-4.3428571428571425,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
123,1,-4.3428571428571425,0.00045,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
124,1,-4.3428571428571425,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
125,1,-4.3428571428571425,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
126,1,-4.3428571428571425,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
127,1,-4.3428571428571425,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
128,1,-4.3428571428571425,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
129,1,-4.3428571428571425,0.0013499999999999999,3.7161961002198045,442.563798823808,1.3584396313604718e-14,1.0,4.326605227286708,451.78777810359315,1.3511769858494744e-14,1.0
130,1,-4.3428571428571425,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
131,1,-4.3428571428571425,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
132,1,-4.3428571428571425,0.0018,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
133,1,-4.3428571428571425,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
134,1,-4.3428571428571425,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
135,1,-3.6357142857142852,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
136,1,-3.6357142857142852,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
137,1,-3.6357142857142852,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
138,1,-3.6357142857142852,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
139,1,-3.6357142857142852,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
