,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
32,3,5,-2.81,0.0001,8.177991373522286,387.1564145033248,5.330124549852198e-15,1.0,12.540284689851083,370.21018696328537,1.3029660686418425e-14,0.9999999999999996
33,3,6,-2.81,0.0001,8.852228350066609,386.7199582224581,4.091196668788296e-15,1.0,13.57417234264954,369.5409167741175,4.1152624250817574e-13,1.0
34,3,7,-2.81,0.0001,9.478005749065138,386.32231004928394,3.500906848413932e-15,0.9999999999999998,14.533750981302136,368.9311556453361,3.431982934828219e-15,1.0
35,3,8,-2.81,0.0001,10.063718656583116,385.9552969808822,3.066075846532178e-15,0.9999999999999998,15.431894167689794,368.3683709576738,1.7194555289573127e-13,1.0
36,3,9,-2.81,0.0001,10.615993393208461,385.6121269048189,2.7676721772064446e-15,1.0,16.27876249507333,367.84214750399315,6.537344486500102e-16,1.0
37,3,10,-2.81,0.0001,11.140141647639997,385.2873262314718,2.521120312936677e-15,0.9999999999999998,17.082501218877923,367.34409207467763,3.3660062938794794e-16,1.0
38,3,11,-2.81,0.0001,11.640467101605896,384.9765486554514,3.0261196081859706e-15,1.0,17.849709597849756,366.8675399241425,2.573706439287012e-16,0.9999999999999996
39,3,12,-2.81,0.0001,12.120481927686065,384.6763825936337,2.2064004388425285e-15,0.9999999999999998,18.58577332089069,366.4072596553683,4.679101951354428e-16,1.0
40,3,13,-2.81,0.0001,12.583069328848131,384.38417009849826,2.008754131839451e-15,1.0,19.295113489259716,365.9591755291326,1.4402766624280527e-15,1.0
41,3,14,-2.81,0.0001,13.030609827710972,384.0978458484037,1.870150278603515e-15,1.0,19.981380459640885,365.5201205401511,3.496272007117974e-15,1.0
42,4,1,-2.81,0.0001,4.9422393659123225,308.35633213649515,1.3370318932751132e-14,0.9999999999999998,3.8196504221236056,316.9098852918415,1.328636610643816e-14,1.0
43,4,2,-2.81,0.0001,6.001093904680964,307.92132575714,5.946015093630173e-15,1.0,4.637994977010699,316.57368661147143,1.561029107908346e-13,1.0
44,4,3,-2.81,0.0001,6.940538604888998,307.3383720471716,5.233761892878228e-15,1.0,5.364052597970726,316.1231459170325,2.6776042755580867e-13,1.0
45,4,4,-2.81,0.0001,7.784115309579984,306.78016926612844,4.939485669275108e-15,1.0,6.016017811191178,315.6917343248469,2.3270863933793286e-13,1.0
46,4,5,-2.81,0.0001,8.55108322050489,306.27427576888385,3.546999109526141e-15,1.0,6.60877523534206,315.3007505474652,8.075442734816519e-14,1.0
47,4,6,-2.81,0.0001,9.256079861694344,305.8179077327662,2.7177122396542976e-15,1.0,7.153637668488804,314.94804285899363,2.6388105188048898e-14,1.0
48,4,7,-2.81,0.0001,9.910406129808845,305.4021182784203,2.446120566152821e-15,1.0,7.6593390688437655,314.6266966957478,8.355182530141588e-16,1.0
49,4,8,-2.81,0.0001,10.522840106937215,305.01836154473534,2.583057453230048e-15,1.0,8.132663118880679,314.33010967960075,1.998580914853748e-12,1.0
50,4,9,-2.81,0.0001,11.100310412746978,304.6595355732263,3.581528415259459e-15,1.0,8.578966378397135,314.05278573698405,4.17625204936358e-14,1.0
51,4,10,-2.81,0.0001,11.64837107170745,304.31991701760774,3.1071795518015976e-15,1.0,9.002539575327116,313.7903087024337,2.4421342915781263e-14,1.0
52,4,11,-2.81,0.0001,12.17152208858362,303.99496130905806,2.7481177024760094e-15,1.0,9.4068611506547,313.5391639785467,1.5126064808396846e-14,1.0
