,ID,date,Acc,condition,block,orientation,foreperiod,corrAns,RT,action_trigger.rt,Response.keys,counterbalance,extFixationDuration,oneBackFP,twoBackFP,oneBackEffect,oneBackAcc
156,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.515,0.854,right,action-external,,1.0,1.0,0.03200000000000003,0.0
157,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.636,0.968,right,action-external,,1.0,1.0,0.121,1.0
158,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.534,0.572,right,action-external,,1.0,1.0,-0.10199999999999998,1.0
159,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.648,0.516,left,action-external,,1.0,1.0,0.11399999999999999,1.0
160,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.554,0.534,right,action-external,,1.0,1.0,-0.09399999999999997,1.0
161,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.569,0.535,right,action-external,,1.0,1.0,0.014999999999999902,1.0
162,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.603,0.637,left,action-external,,1.0,1.0,0.03400000000000003,1.0
163,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.54,0.702,left,action-external,,1.0,1.0,-0.06299999999999994,1.0
164,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.382,0.536,right,action-external,,1.0,1.0,-0.15800000000000003,1.0
165,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.522,0.552,right,action-external,,1.0,1.0,0.14,1.0
166,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.568,0.838,left,action-external,,1.0,1.0,0.04599999999999993,1.0
167,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.376,0.567,right,action-external,,1.0,1.0,-0.19199999999999995,1.0
168,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.516,0.631,right,action-external,,1.0,1.0,0.14,1.0
169,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.424,0.573,right,action-external,,1.0,1.0,-0.09200000000000003,1.0
180,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.522,,right,action-external,1.304030988,,,,
181,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.523,,left,action-external,1.504256302,1.0,,0.0010000000000000009,1.0
182,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.586,,left,action-external,1.668732351,1.0,1.0,0.06299999999999994,1.0
183,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.498,,right,action-external,1.711410002,1.0,1.0,-0.08799999999999997,1.0
184,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.383,,left,action-external,1.353208981,1.0,1.0,-0.11499999999999999,1.0
185,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.453,,right,action-external,1.499800678,1.0,1.0,0.07,1.0
186,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.54,,left,action-external,1.706670024,1.0,1.0,0.08700000000000002,1.0
187,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.462,,right,action-external,1.557514675,1.0,1.0,-0.07800000000000001,1.0
188,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.384,,left,action-external,1.387795313,1.0,1.0,-0.07800000000000001,1.0
189,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.467,,right,action-external,1.513946234,1.0,1.0,0.08300000000000002,1.0
190,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.592,,right,action-external,1.486503706,1.0,1.0,0.12499999999999994,1.0
191,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.498,,left,action-external,1.716576668,1.0,1.0,-0.09399999999999997,1.0
192,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.567,,left,action-external,1.593029863,1.0,1.0,0.06899999999999995,1.0
193,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.572,,left,action-external,1.35951588,1.0,1.0,0.0050000000000000044,1.0
194,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.556,,left,action-external,1.490307036,1.0,1.0,-0.015999999999999903,1.0
195,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.451,,right,action-external,1.609655874,1.0,1.0,-0.10500000000000004,1.0
196,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.636,,left,action-external,1.381876106,1.0,1.0,0.185,1.0
197,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.499,,left,action-external,1.617481646,1.0,1.0,-0.137,1.0
198,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.515,,right,action-external,1.290750088,1.0,1.0,0.016000000000000014,1.0
199,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.5,,right,action-external,1.388538137,1.0,1.0,-0.015000000000000013,1.0
200,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.504,,right,action-external,1.334824943,1.0,1.0,0.0040000000000000036,1.0
201,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.552,,left,action-external,1.568040117,1.0,1.0,0.04800000000000004,1.0
202,001,03-25-2023_20h44.56.585,0.0,external,2.0,left,1.0,left,0.454,,right,action-external,1.432265031,1.0,1.0,-0.09800000000000003,1.0
203,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.592,,right,action-external,1.477765949,1.0,1.0,0.13799999999999996,0.0
204,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.62,,right,action-external,1.442832167,1.0,1.0,0.028000000000000025,1.0
205,001,03-25-2023_20h44.56.585,1.0,external,2.0,right,1.0,right,0.622,,right,action-external,1.479584919,1.0,1.0,0.0020000000000000018,1.0
206,001,03-25-2023_20h44.56.585,1.0,external,2.0,left,1.0,left,0.616,,left,action-external,1.73882133,1.0,1.0,-0.006000000000000005,1.0
